id	wav_path	ref	hyp_large_am	hyp_large_total	am_large	lm_large	cons_large	hyp_ccnn_am	hyp_ccnn_total	am_ccnn	lm_ccnn	cons_ccnn
002af29a8a	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/541e4/002af29a8a.wav	भने मलाई वा	भने मलाई वा	भने मलाई वा	-0.3276989758014679	-1.87017027537028	-1.3291778107789773e-07	भने मलाई वा	भने मलाई वा	-0.2966040372848511	-1.87017027537028	-1.3291778107789773e-07
002f406081	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/d26e5/002f406081.wav	यसको रूपमा पनि	यसको रूपमा पनि	यसको रूपमा पनि	-0.2989307940006256	-1.0688123067220052	-3.808415082554954e-07	यसको रूपमा पनि	यसको रूपमा पनि	-0.2583982050418854	-1.0688123067220052	-3.808415082554954e-07
0033a7ae1e	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/42be7/0033a7ae1e.wav	शंकरजी नमस्ते नेपाली	शङ्करजी नमस्ते नेपाली	शङ्करजी नमस्ते नेपाली	-0.3192080855369568	-2.0715373646129263	-2.1502420498687902e-07	शंकरजी नमस्ते नेपाली	शंकरजी नमस्ते नेपाली	-0.2806519567966461	-2.2606430053710938	-2.2912111793023845e-07
00340fd7a4	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/e64b6/00340fd7a4.wav	सरकारले यो आन्दोलन	सरकारले यो आन्दोलन	सरकारले यो आन्दोलन	-0.30700668692588806	-1.6314653095446134	-5.642026927058683e-07	सरकारले यो आन्दोलन	सरकारले यो आन्दोलन	-0.28159797191619873	-1.6314653095446134	-5.642026927058683e-07
00380c42e9	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/8efbc/00380c42e9.wav	राजधानी बन्यो	राजधानी बन्यो	राजधानी बन्यो	-0.3125440180301666	-1.8280387605939592	-1.2477471500460524e-07	राजधानी बन्यो	राजधानी बन्यो	-0.286501944065094	-1.8280387605939592	-1.2477471500460524e-07
003f32ed01	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/43b70/003f32ed01.wav	लेहलका गाउँवासीहरूले	लेहलका गाउँवासीहरूले	लेहलका गाउँवासीहरूले	-0.3015144467353821	-2.1135973249162947	-0.8281110127766927	लेहलका गाउँवासीहरूले	लेहलका गाउँवासीहरूले	-0.27638930082321167	-2.1135973249162947	-0.8281110127766927
00421d8146	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/d0b2b/00421d8146.wav	भरिएको प्राचीन	भरिएको प्राचीन	भरिएको प्राचीन	-0.31607872247695923	-1.9590067545572916	-1.261197515608122e-07	भरिएको प्राचीन	भरिएको प्राचीन	-0.27095648646354675	-1.9590067545572916	-1.261197515608122e-07
0047f889f0	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/fc4f4/0047f889f0.wav	गरिएका पनि छन्	गरिएका पनि छन्	गरिएका पनि छन्	-0.3210904896259308	-1.3236671447753907	-1.3721110008191318e-07	गरिएका पनि छन्	गरिएका पनि छन्	-0.28924039006233215	-1.3236671447753907	-1.3721110008191318e-07
004b2a3c8e	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/f09e5/004b2a3c8e.wav	सानो गाविस हो	सानो गाविस हो	सानो गाविस हो	-0.39538389444351196	-1.6662819726126534	-5.099393872244816e-08	सानो गाविस हो	सानो गाविस हो	-0.3201437294483185	-1.6662819726126534	-5.099393872244816e-08
004ddbf50c	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/cbbed/004ddbf50c.wav	सामु पुगे	सामु पुगे	सामु पुगे	-0.487617552280426	-2.45286865234375	-7.035361591078981e-08	सामु पुगे	सामु पुगे	-0.39498594403266907	-2.45286865234375	-7.035361591078981e-08
004e099a4d	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/8389b/004e099a4d.wav	शताब्दीहरूको छ	शताब्दीहरूको छ	शताब्दीहरूको छ	-0.28608831763267517	-2.0102834065755206	-2.879512067011092e-07	शताब्दीहरूको छ	शताब्दीहरूको छ	-0.2634383738040924	-2.0102834065755206	-2.879512067011092e-07
0055e5b8f3	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/0234b/0055e5b8f3.wav	यो प्रथा निकै ठुलो	यो प्रथा निकै ठूलो	यो प्रथा निकै ठूलो	-0.3830784261226654	-1.9620517931486432	-3.8009303400605476e-07	यो प्रथा निकै ठूलो	यो प्रथा निकै ठूलो	-0.40396642684936523	-1.9620517931486432	-3.8009303400605476e-07
005a79209e	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/d593e/005a79209e.wav	छानेर तयारी फललाई	छानेर तयारी फललाई	छानेर तयारी फललाई	-0.30309927463531494	-2.1702878740098743	-2.6265900664333863e-08	छानेर तयारी फललाई	छानेर तयारी फललाई	-0.28832677006721497	-2.1702878740098743	-2.6265900664333863e-08
005f0246e6	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/22521/005f0246e6.wav	प्रतिबन्ध लगाउन पनि	प्रतिबन्ध लगाउन प	प्रतिबन्ध लगाउन प	-0.2876417338848114	-1.7889798482259114	-1.9630723626404588e-06	प्रतिबन्ध लगाउन प	प्रतिबन्ध लगाउन प	-0.2600540816783905	-1.7889798482259114	-1.9630723626404588e-06
005fef7b5d	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/d0756/005fef7b5d.wav	प्रश्न सोधिएको थियो	प्रस्न सोधिएको थियो	प्रस्न सोधिएको थियो	-0.33258309960365295	-1.7171159744262696	-2.018759772681733e-08	पस्न सोधिएको थियो	पस्न सोधिएको थियो	-0.32455337047576904	-1.8424869113498263	-3.3043363600882e-08
006464b1e7	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/49220/006464b1e7.wav	परम्पराका अनुसार घटकर्पर	परम्पराका अनुसार खटकर्पर	परम्पराका अनुसार खटकर्पर	-0.326913982629776	-2.200281677246094	-3.621763244154863e-07	परम्पराका अनुसार घटकर्पर	परम्पराका अनुसार घटकर्पर	-0.2768438160419464	-2.0921566772460936	-1.0155823474633508e-07
0064ef58c9	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/73d74/0064ef58c9.wav	मानिसको जीवनलाई	मानिसको जीव	मानिसको जीव	-0.2912784814834595	-1.8049551645914714	-2.979356850119075e-07	मानिसको जीव	मानिसको जीव	-0.28013813495635986	-1.8049551645914714	-2.979356850119075e-07
0067d42315	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/73668/0067d42315.wav	कुनै समस्या	कुनै समस्या	कुनै समस्या	-0.31847047805786133	-1.7316969235738118	-1.5050665306641047e-08	कुनै समस्या	कुनै समस्या	-0.29172226786613464	-1.7316969235738118	-1.5050665306641047e-08
006e67532f	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/8389b/006e67532f.wav	धाराहरूबाट पानी आउन	धराहरूबाट पानी आउन	धराहरूबाट पानी आउन	-0.32413437962532043	-1.9975347016987048	-5.596696813594654e-09	धाराहरूबाट पानी आउन	धाराहरूबाट पानी आउन	-0.28933843970298767	-1.8387298583984375	-5.370493738610094e-09
006f4f5394	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/22521/006f4f5394.wav	गत भदौमा जगदीशपुर	गत भदौमा जगतिस्पुर	गत भदौमा जगतिस्पुर	-0.36623188853263855	-3.0712798269171464	-6.718973485189245e-07	गत भदौमा जगदीशपुर	गत भदौमा जगदीशपुर	-0.3128810524940491	-3.3503121270073786	-6.40427667046121e-07
0074941145	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/bee0c/0074941145.wav	ड्रागनफलसँग मिल्दोजुल्दो सिउँडी	ड्रागनफलसँग मिल्दोजिल्दो सिउँड	ड्रागनफलसँग मिल्दोजिल्दो सिउँड	-0.3316204845905304	-2.88965335969002	-0.7085081531155494	ड्रागनफलसँग मिल्दोजुल्दो सिउँड	ड्रागनफलसँग मिल्दोजुल्दो सिउँड	-0.26782968640327454	-2.9622997160880797	-0.7113145397555444
0076c1bd01	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/5d09c/0076c1bd01.wav	वस्तुहरूमा एक खतरनाक	वस्तुहरूमा एक खतरनाक	वस्तुहरूमा एक खतरनाक	-0.3335333466529846	-2.4136468796502974	-1.2360188910471542e-07	वस्तुहरूमा एक घतनाक	वस्तुहरूमा एक घतनाक	-0.34008151292800903	-2.2453590393066407	-6.228444817679701e-07
007a5a8c03	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/319a8/007a5a8c03.wav	अनि हामी पृथ्वीमा	अनि हामी पृथ्वी	अनि हामी पृथ्वी	-0.28773224353790283	-1.8275532722473145	-9.545016865786238e-08	अनि हामी पृथ्वी	अनि हामी पृथ्वी	-0.32658010721206665	-1.8275532722473145	-9.545016865786238e-08
007f4447ee	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/39e3b/007f4447ee.wav	नेपाल बाहिरका नेपालीको	नेपाल बाहिरका नेपालीको	नेपाल बाहिरका नेपालीको	-0.3088845908641815	-1.3636679442032524	-8.173211209277328e-08	नेपाल बाहिरका नेपालीको	नेपाल बाहिरका नेपालीको	-0.2809964418411255	-1.3636679442032524	-8.173211209277328e-08
0084538fb6	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/28f92/0084538fb6.wav	वा अन्य कुनै कानमा	वा अन्य कुनै	वा अन्य कुनै	-0.29586702585220337	-1.5983825096717248	-1.0136326103257979e-08	वा अन्य कुनै	वा अन्य कुनै	-0.2778208255767822	-1.5983825096717248	-1.0136326103257979e-08
0084745793	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/fad24/0084745793.wav	स्थानमा छ	स्थानमा छ	स्थानमा छ	-0.3256453573703766	-1.4826997756958007	-8.38849155115895e-07	स्थानमा छ	स्थानमा छ	-0.30673685669898987	-1.4826997756958007	-8.38849155115895e-07
0088aef87c	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/6c67c/0088aef87c.wav	झिँगा ड्रोसोफिलाको	चिङ्गा ड्रोसो फिलाको	चिङ्गा ड्रोसो फिलाको	-0.3574066758155823	-2.1881127130417597	-1.4995620068432237e-08	झिङ्गा ड्रोसो फिलाको	झिङ्गा ड्रोसो फिलाको	-0.3583186864852905	-2.262047903878348	-1.4110411852709063e-07
0089015a1a	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/02e40/0089015a1a.wav	लोक कथा पनि	लोककथा पनि	लोककथा पनि	-0.33697816729545593	-2.6494294946843926	-1.2276680288116701e-06	लोककथा पनि	लोककथा पनि	-0.3196702003479004	-2.6494294946843926	-1.2276680288116701e-06
008fe722ca	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/8efbc/008fe722ca.wav	पनि त कम	पनि त कम	पनि त कम	-0.3430560231208801	-2.49007691277398	-2.3963570091230697e-08	पनि त कम	पनि त कम	-0.2999902069568634	-2.49007691277398	-2.3963570091230697e-08
0090dec475	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/e75fc/0090dec475.wav	मध्यमा एक समप्रभुसत्ता	मध्यमा एक सम्प्रघोष	मध्यमा एक सम्प्रघोष	-0.32830554246902466	-1.984379196166992	-6.46604075882351e-07	मध्यमा एक सम्प्रभूक	मध्यमा एक सम्प्रभूक	-0.4006708860397339	-1.8794322967529298	-6.915136509633158e-07
00945443ee	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/fea0e/00945443ee.wav	वर्षाको वितरण	वर्षाको वितरण	वर्षाको वितरण	-0.3096040189266205	-1.983527456011091	-3.060487025712584e-08	वर्षाको वितरण	वर्षाको वितरण	-0.2802831530570984	-1.983527456011091	-3.060487025712584e-08
0099106657	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/55451/0099106657.wav	रोगीको व्यवस्थाहरूको पूर्ण	रोगीको व्यवस्थाहरूको पूर्ण	रोगीको व्यवस्थाहरूको पूर्ण	-0.29536664485931396	-1.30511799565068	-2.4920778000873893e-07	रोगीको व्यवस्थाहरूको पूर्ण	रोगीको व्यवस्थाहरूको पूर्ण	-0.2647377848625183	-1.30511799565068	-2.4920778000873893e-07
00994de24b	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/61821/00994de24b.wav	यहाँ जान	यहाँ जान	यहाँ जान	-0.33092352747917175	-1.8326348198784723	-3.234093348185221	यहाँ जान	यहाँ जान	-0.3355309069156647	-1.8326348198784723	-3.234093348185221
009aada553	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/541e4/009aada553.wav	त्यसको कारक जीवहरू	त यसको कारण जीवहरू	त यसको कारण जीवहरू	-0.3326951563358307	-1.805824681332237	-1.4534321292701767e-07	त्यसको कारण जीवहरू	त्यसको कारण जीवहरू	-0.3281477391719818	-1.3995739786248458	-2.1003746185574288e-07
009f5f24f5	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/f8686/009f5f24f5.wav	लडाकुको कमान्ड हुन्छे	लडाकुको कमान्ड हुन्छे	लडाकुको कमान्ड हुन्छे	-0.3121074140071869	-2.259255149147727	-7.225097016833554e-07	लडाकुको कमान्ड हुन्छे	लडाकुको कमान्ड हुन्छे	-0.296413779258728	-2.259255149147727	-7.225097016833554e-07
009f5fcb64	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/29c22/009f5fcb64.wav	यसको आकृति गोलो	यसको आकृति गोलो	यसको आकृति गोलो	-0.3170941174030304	-1.9512240886688232	-4.3671235516740126e-07	यसको आकृति गोलो	यसको आकृति गोलो	-0.27161550521850586	-1.9512240886688232	-4.3671235516740126e-07
009f8ebc71	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/2f34a/009f8ebc71.wav	केही नेपाली नाटक हृदयचन्द्रसिंह प्रधानद्वारा लेखिएको कृति हो	त्यही नेपाली नाटक हृदयचन्द्रसिंह	त्यही नेपाली नाटक हृदयचन्द्रसिंह	-0.3287295699119568	-2.3103776411576704	-0.5743754993785511	त्यही नेपाली नाटक हृदयचन्द्रसिंह	त्यही नेपाली नाटक हृदयचन्द्रसिंह	-0.2794555723667145	-2.3103776411576704	-0.5743754993785511
00a7533f0f	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/07f55/00a7533f0f.wav	पनि एउटा कच्ची	पनि एउटा कच्ची	पनि एउटा कच्ची	-0.30270716547966003	-1.8504178365071615	-2.6018263573253836e-07	पनि एउटा कच्ची	पनि एउटा कच्ची	-0.27649620175361633	-1.8504178365071615	-2.6018263573253836e-07
00adb74fe1	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/6f65d/00adb74fe1.wav	पत्रले त्यस स्कुलको	पत्रले त्यस स्कुलको	पत्रले त्यस स्कुलको	-0.341538667678833	-1.7375066757202149	-1.7795875351112044e-08	पत्रले त्यस स्कुलको	पत्रले त्यस स्कुलको	-0.2759304344654083	-1.7375066757202149	-1.7795875351112044e-08
00b316fa0b	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/5f3e5/00b316fa0b.wav	अन्यले राष्ट्रिय	अन्यले राष्ट्रिय	अन्यले राष्ट्रिय	-0.30674314498901367	-1.3837542814366959	-9.413616573831806e-08	अन्यले राष्ट्रिय	अन्यले राष्ट्रिय	-0.27630165219306946	-1.3837542814366959	-9.413616573831806e-08
00c2bb188d	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/31a35/00c2bb188d.wav	यसरी आफ्नो गालाको	यसरी आफ्नो गालाक	यसरी आफ्नो गालाक	-0.29284387826919556	-2.064324547262753	-3.5169528821236727e-07	यसरी आफ्नो गालाक	यसरी आफ्नो गालाक	-0.2747502028942108	-2.064324547262753	-3.5169528821236727e-07
00c3a80db0	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/cbbed/00c3a80db0.wav	एकादश घरलाई त्रिकोण भनिन्छ	एकादश घरलाई त्रिकोण भनिन्छ	एकादश घरलाई त्रिकोण भनिन्छ	-0.30720657110214233	-2.1651044774938515	-1.7490974305137233e-07	एकादश घरलाई त्रिकोण भनिन्छ	एकादश घरलाई त्रिकोण भनिन्छ	-0.2761029005050659	-2.1651044774938515	-1.7490974305137233e-07
00ca827157	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/d4b2f/00ca827157.wav	लागि बेइजिङ	लागि बेइ	लागि बेइ	-0.31534916162490845	-2.4675415886773004	-1.4738463707746835e-06	लागि बेइ	लागि बेइ	-0.345253586769104	-2.4675415886773004	-1.4738463707746835e-06
00ce831132	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/2f34a/00ce831132.wav	काम गर्छ भन्ने	काम गर्छ भन्ने	काम गर्छ भन्ने	-0.31454595923423767	-1.3760050455729167	-5.4794786782016065e-09	काम गर्छ भन्ने	काम गर्छ भन्ने	-0.2851082980632782	-1.3760050455729167	-5.4794786782016065e-09
00d35c6835	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/3999a/00d35c6835.wav	त्यसैगरी कुनै प्राकृतिक	त्यसैगरी कुनै प्रा	त्यसैगरी कुनै प्रा	-0.2868112623691559	-1.702427914268092	-3.975994140522457e-06	त्यसैगरी कुनै प्रा	त्यसैगरी कुनै प्रा	-0.2590675354003906	-1.702427914268092	-3.975994140522457e-06
00ddd2113d	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/2e769/00ddd2113d.wav	हि इज नट	हि इज नट	हि इज नट	-0.3816338777542114	-4.366961161295573	-1.0384789372134644e-06	हे इज नट	हे इज नट	-0.447604775428772	-4.3906983269585504	-1.0260325022197019e-06
00e1b52ea5	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/750b9/00e1b52ea5.wav	संकेत गर्दछ	सङ्केत गर्दछ	सङ्केत गर्दछ	-0.3535301685333252	-1.6427415701059194	-5.9395277346014225e-08	संकेत गर्दछ	संकेत गर्दछ	-0.3618425130844116	-1.780847708384196	-5.4045126300176584e-08
00e840f66d	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/f09e5/00e840f66d.wav	भने हामी त्यहाँ	भने हामी त्यह	भने हामी त्यह	-0.298528254032135	-2.0703296661376953	-1.1830374952686335e-07	भने हामी त्यह	भने हामी त्यह	-0.2750881314277649	-2.0703296661376953	-1.1830374952686335e-07
00ec1daed1	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/581da/00ec1daed1.wav	दिदै भनिन् गौतमीको	दिँदै भनिन् गौतमीको	दिँदै भनिन् गौतमीको	-0.30571115016937256	-2.236398696899414	-1.0206380844116212	दिँदै भनिन् गौतमीको	दिँदै भनिन् गौतमीको	-0.2843121886253357	-2.236398696899414	-1.0206380844116212
00f146a59a	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/bdfe3/00f146a59a.wav	नियमित बस उत्तर	नियमित वस उत्तर	नियमित बस उत्तर	-0.35833847522735596	-2.122015953063965	-9.011333901298713e-08	नियमित वस उत्तर	नियमित वस उत्तर	-0.31402450799942017	-2.256859064102173	-8.97305625358058e-08
00f4ace3cf	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/9c1c2/00f4ace3cf.wav	पाकेपछि हल्का	पाकेपछि हल्का	पाकेपछि हल्का	-0.3238239288330078	-2.5652038029261996	-2.771205020378277e-07	पाकेपछि हल्का	पाकेपछि हल्का	-0.28752678632736206	-2.5652038029261996	-2.771205020378277e-07
0100d0a444	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/c89a6/0100d0a444.wav	फाइललाइ अर्को नाम	फाइललाई अर्को 	फाइललाई अर्को 	-0.2898379862308502	-2.1886113484700522	-0.0017056480050086976	फाइललाई अर्को 	फाइललाई अर्को 	-0.25692686438560486	-2.1886113484700522	-0.0017056480050086976
0100e4022e	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/2d618/0100e4022e.wav	विक्रम सम्वत्	विक्रम सम्मत	विक्रम सम्मत	-0.3211369216442108	-2.1971875704251804	-4.969046165989801e-09	विक्रम सम्मत	विक्रम सम्मत	-0.29070398211479187	-2.1971875704251804	-4.969046165989801e-09
0102692f53	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/5b02a/0102692f53.wav	राणाले आफ्ना स्व	राणाले आफ्ना स्रोत	राणाले आफ्ना स्रोत	-0.32536280155181885	-1.8656286942331415	-2.059788896172234e-07	राणाले आफ्ना स्वत	राणाले आफ्ना स्वत	-0.3156764507293701	-1.8265346950954862	-6.696006948914146e-08
0105c40cbe	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/a2a69/0105c40cbe.wav	काम गर्यो ताकि	काम गर्यो ताकि	काम गर्यो ताकि	-0.3182674050331116	-2.1678568522135415	-1.3095988530646234e-08	काम गर्यो ताकि	काम गर्यो ताकि	-0.31366533041000366	-2.1678568522135415	-1.3095988530646234e-08
0105c94e5d	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/b33c6/0105c94e5d.wav	निषेधात्मक अहिंसामा	निषेधात्मक अहिंसामा	निषेधात्मक अहिंसामा	-0.32150882482528687	-2.534504508972168	-0.7070559978485107	निषेधात्मक अहिंसामा	निषेधात्मक अहिंसामा	-0.2968210279941559	-2.534504508972168	-0.7070559978485107
010701e4ec	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/bc6b6/010701e4ec.wav	गर्न सक्थ्यो	गर्न सक्थ्यो	गर्न सक्थ्यो	-0.3703744113445282	-1.4995777423565204	-8.886273078062983e-08	गर्न सक्थ्यो	गर्न सक्थ्यो	-0.313586562871933	-1.4995777423565204	-8.886273078062983e-08
010d60333d	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/f73cc/010d60333d.wav	धेरै मुलुकहरूमा समस्याको	धेरै मुलुकहरूमा समस्याको	धेरै मुलुकहरूमा समस्याको	-0.38099417090415955	-1.7000628662109376	-1.9590475858421996e-07	धेरै मूलघरमा समस्याको	धेरै मूलघरमा समस्याको	-0.3224003314971924	-1.9011820012872869	-7.624930731253698e-08
01166e7dd4	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/393a5/01166e7dd4.wav	मावली बसाइले	मावली बसाईले	मावली बसाईले	-0.3616800308227539	-2.6388379610501804	-2.801521252247487e-07	मावली बसाईले	मावली बसाईले	-0.3446284234523773	-2.6388379610501804	-2.801521252247487e-07
011a3aa19b	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/5dae1/011a3aa19b.wav	स्वामीबाग समाधि	स्वामी वाघ समाधि	स्वामी वाघ समाधि	-0.3731808662414551	-2.4631455365349266	-8.218469648615128e-08	स्वामी भाग समाधि	स्वामी भाग समाधि	-0.35966241359710693	-2.0802742453182446	-8.637774793468826e-08
011e73de64	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/e0d14/011e73de64.wav	जो मानिस कुम्भमा	जो मानिस कुम्भमा	जो मानिस कुम्भमा	-0.30728137493133545	-2.0805610207950367	-8.655506596422878e-08	जो मानिस कुम्भमा	जो मानिस कुम्भमा	-0.29019567370414734	-2.0805610207950367	-8.655506596422878e-08
